id,timestamp,vessel_id,latitude,longitude,velocity,heading,cog,vessel_name,destination,type
5640496,2025-03-27 00:28:00.712276,230987390,60.209895,21.564078,8.5,336.0,336.2,FALCO,GALTBY,60
5640495,2025-03-27 00:28:00.692807,230046580,60.080678,19.934037,0.0,353.0,169.9,SVANTE G  ,MARIEHAMN AREA,51
5640494,2025-03-27 00:28:00.588450,230108590,60.156652,24.99493,8.3,161.0,159.8,EHRENSVAERD,SUOMENLINNA FERRY,60
5640493,2025-03-27 00:28:00.484595,538010840,59.295572,22.303622,12.1,52.0,51.4,SILVERLIGHT,RUPRI,80
5640492,2025-03-27 00:28:00.297673,228468700,59.291627,21.960247,12.5,234.0,233.2,ECO OSTRO,DENOK,70
5640491,2025-03-27 00:28:00.149418,230610000,60.06627,20.268073,0.0,318.0,318.1,SKARVEN,SVINO-DEGERBY,60
5640490,2025-03-27 00:28:00.094048,276260000,59.457922,24.708238,0.0,252.0,183.4,NAFTA,GOLF,80
5640489,2025-03-27 00:28:00.073444,244874000,59.4948,20.042663,15.4,199.0,199.9,EMOTION,FI RAU > DE WVN,70
5640488,2025-03-27 00:27:59.998990,230706000,59.767603,24.242583,10.8,257.0,257.4,SAANA,FISKV-SELLA,80
5640487,2025-03-27 00:27:59.956837,230943350,60.432517,22.219612,0.0,511.0,0.0,TUULI,KUMLINGE-ENKLINGE,60
5640486,2025-03-27 00:27:59.607166,276007320,59.742258,24.356922,1.0,230.0,240.6,WARSHIP P6732,PATROL,35
5640485,2025-03-27 00:27:59.494214,255806250,60.049012,19.63269,11.9,109.0,105.8,FINNLAND,GODBY,70
5640484,2025-03-27 00:27:59.276764,230175570,60.21929,19.53855,0.0,307.0,360.0,RESCUE WEST,,51
5640483,2025-03-27 00:27:59.186825,276832000,59.497625,24.940143,0.0,301.0,339.8,VEGA,MUUGA,52
5640482,2025-03-27 00:27:59.163357,230696000,61.127038,21.45377,0.0,250.0,194.8,BORE WAY,RAUMA,70
5640481,2025-03-27 00:27:59.091038,230992740,60.451157,22.032295,0.0,275.0,0.0,SKIFTET,KOKAR<>LANGNAS,60
5640480,2025-03-27 00:27:59.054296,230282000,61.595007,21.484443,0.0,283.0,252.6,PORIN KARHU  ,FI POR            ,52
5640479,2025-03-27 00:27:58.986807,273611990,59.692313,24.226078,10.0,75.0,73.4,MIA,RU LED,70
5640478,2025-03-27 00:27:58.917945,230138770,61.598475,21.498667,0.0,91.0,4.0,HARALD        ,DK CPH,33
5640477,2025-03-27 00:27:58.898496,237714600,59.765575,23.706437,43.5,73.0,66.7,PLS-622,VUOSAARI,51
5640476,2025-03-27 00:27:58.689635,276001840,59.499333,24.813975,0.0,511.0,245.4,SUNRAY,,90
5640475,2025-03-27 00:27:58.635119,230992670,60.318157,20.751618,0.0,298.0,280.1,ALFAGELN,HUMMELVIK/TORSHOLMA,60
5640474,2025-03-27 00:27:58.541791,230115340,61.594328,21.464643,0.0,279.0,41.2,PILOT L136,,50
5640473,2025-03-27 00:27:58.497280,230991780,61.13345,21.440623,0.0,133.0,357.4,JOONAS,,52
5640472,2025-03-27 00:27:58.261055,314702000,59.463577,22.450395,9.0,232.0,235.5,WILSON BRUGGE,NOTAU,70
5640471,2025-03-27 00:27:58.239737,230110890,60.056342,19.904395,8.2,212.0,208.8,L-126,MARIEHAMN,50
5640470,2025-03-27 00:27:58.218965,230987390,60.209787,21.564168,8.5,336.0,336.9,FALCO,GALTBY,60
5640469,2025-03-27 00:27:57.798983,230099540,60.32248,20.372262,0.0,511.0,233.4,SIMSKALA,SIMSKALA,60
